id,name,slug,downloads,link
1352123,Create Chronicles: Bosses and Beyond Enriched,create-chronicles-bosses-and-beyond-enriched,159,https://www.curseforge.com/minecraft/modpacks/create-chronicles-bosses-and-beyond-enriched
1294231,Land of Cogs,land-of-cogs,131,https://www.curseforge.com/minecraft/modpacks/land-of-cogs
858513,CanPacificCraft,canpacificcraft,465,https://www.curseforge.com/minecraft/modpacks/canpacificcraft
1346650,CacheNetworks,cachenetworks,43,https://www.curseforge.com/minecraft/modpacks/cachenetworks
1352750,Withering Dawn,withering-dawn,22,https://www.curseforge.com/minecraft/modpacks/withering-dawn
1350691,villlagecraft,villlagecraft,42,https://www.curseforge.com/minecraft/modpacks/villlagecraft
1338146,Survival Smp Server,survival-smp-mods,63,https://www.curseforge.com/minecraft/modpacks/survival-smp-mods
1037554,Create A Potat,create-a-potat,119,https://www.curseforge.com/minecraft/modpacks/create-a-potat
1337876,Vision-Craft.net,vision-craft-net,146,https://www.curseforge.com/minecraft/modpacks/vision-craft-net
1346733,Simple Degeneracy,simple-degeneracy,102,https://www.curseforge.com/minecraft/modpacks/simple-degeneracy
1347824,Eternal Horizons Daybreak,eternal-horizons-daybreak,71,https://www.curseforge.com/minecraft/modpacks/eternal-horizons-daybreak
1251776,Tech-Craft MC,tech-craft-mc,71,https://www.curseforge.com/minecraft/modpacks/tech-craft-mc
1217255,Crustose Case Crusaders!,crustose-case-crusade,105,https://www.curseforge.com/minecraft/modpacks/crustose-case-crusade
1325766,AutoCrafted-Create & More!,autocrafted-create-more,314,https://www.curseforge.com/minecraft/modpacks/autocrafted-create-more
1334852,AllAroundCreate,allaroundcreate,163,https://www.curseforge.com/minecraft/modpacks/allaroundcreate
974258,ChaosZProject - A Modern Zombie Apocalypse [VR],chaoszproject,107077,https://www.curseforge.com/minecraft/modpacks/chaoszproject
1183178,DivineIronGamer's Legendpack,divineirongamers-legendpack,364,https://www.curseforge.com/minecraft/modpacks/divineirongamers-legendpack
538235,Mindart's Multiverse,mindarts-mod-packs,1121,https://www.curseforge.com/minecraft/modpacks/mindarts-mod-packs
1248821,Create a Good Time,create-a-good-time,279,https://www.curseforge.com/minecraft/modpacks/create-a-good-time
356103,Chime Time IX,chimetime,2043,https://www.curseforge.com/minecraft/modpacks/chimetime
1332249,Spimgly,spimgly,185,https://www.curseforge.com/minecraft/modpacks/spimgly
559578,Project Ocelot,project-ocelot,207,https://www.curseforge.com/minecraft/modpacks/project-ocelot
1314872,Total Pack,totalpack,1018,https://www.curseforge.com/minecraft/modpacks/totalpack
1334899,CeaseKill - The Big 'Pocalypse,ceasekill-the-big-pocalypse,33,https://www.curseforge.com/minecraft/modpacks/ceasekill-the-big-pocalypse
1344214,IGE (It's gonna explode),ige-its-gonna-explode,19,https://www.curseforge.com/minecraft/modpacks/ige-its-gonna-explode
1342920,Heroes & Villians,heroes-villians,167,https://www.curseforge.com/minecraft/modpacks/heroes-villians
1025409,Project Muffin,projectmuffin,360,https://www.curseforge.com/minecraft/modpacks/projectmuffin
1252194,Spawn Hollow,spawn-hollow,279,https://www.curseforge.com/minecraft/modpacks/spawn-hollow
1304983,UMC Deadeye,umc-deadeye,235,https://www.curseforge.com/minecraft/modpacks/umc-deadeye
1060671,M.M.M.M,mmmmmodpack,984,https://www.curseforge.com/minecraft/modpacks/mmmmmodpack
1328785,Create Colony and the new world,create-colony-and-the-new-world,54,https://www.curseforge.com/minecraft/modpacks/create-colony-and-the-new-world
1309052,Fallen Realms RPG,fallen-realms-rpg,143,https://www.curseforge.com/minecraft/modpacks/fallen-realms-rpg
1329084,Steamforge Content,sf-content,155,https://www.curseforge.com/minecraft/modpacks/sf-content
1332746,Creators of the Man Cave,creators-in-the-man-cave,62,https://www.curseforge.com/minecraft/modpacks/creators-in-the-man-cave
1338779,The Adventure Craft SMP,kuzs-modpack,8,https://www.curseforge.com/minecraft/modpacks/kuzs-modpack
1288257,NAU,nau,394,https://www.curseforge.com/minecraft/modpacks/nau
1337400,Create Rewritten History,create-rewritten-history,63,https://www.curseforge.com/minecraft/modpacks/create-rewritten-history
1334795,CreateYourMaX-,createyourmax,12,https://www.curseforge.com/minecraft/modpacks/createyourmax
1264938,Shadowland+,shadowland-vanilla,39,https://www.curseforge.com/minecraft/modpacks/shadowland-vanilla
1324613,A Crazy Adventure: Science & Survival,a-crazy-adventure-science-survival,224,https://www.curseforge.com/minecraft/modpacks/a-crazy-adventure-science-survival
1250060,yuusha,yuusha-sigmaboi,401,https://www.curseforge.com/minecraft/modpacks/yuusha-sigmaboi
1326476,SGM- Tech and Magic,sgm-modpack-ripimposterpack,86,https://www.curseforge.com/minecraft/modpacks/sgm-modpack-ripimposterpack
1324845,Kingdom of Macotera,kingdom-of-macotera,168,https://www.curseforge.com/minecraft/modpacks/kingdom-of-macotera
1331034,Dragons Memory,dragons-memory,146,https://www.curseforge.com/minecraft/modpacks/dragons-memory
1331557,VOID SMP [ Small smp],void-smp-small-smp,50,https://www.curseforge.com/minecraft/modpacks/void-smp-small-smp
